id_catalogo_bien_servicio,id_catalogo_bien_servicio_padre,codigo,codigo_completo,nombre,nivel,id_bien_servicio_tipo,estado,revision,id_arai,sincronizar
5987,5865,2,3.1.2.00000,AGUA,3,S,AC,,,N
10002573,5953,5664,2.5.1.05664,AMONIO,4,C,AC,,,N
10002574,5953,5665,2.5.1.05665,SODIO,4,C,AC,,,N
10002575,5953,5666,2.5.1.05666,SODIO,4,C,AC,,,N
10003480,5973,727,2.7.9.00727,CERROJO,4,C,AC,,,N
10003791,5930,2118,2.1.1.02118,PUERRO,4,C,AC,,,N
10004105,5937,3118,2.2.2.03118,CUELLO,4,C,AC,,,N
10004106,5937,3119,2.2.2.03119,BOTAS,4,C,AC,,,N
10004212,5936,2247,2.2.1.02247,LINO,4,C,AC,,,N
10005217,6047,11,4.3.6.00011,MONITOR,4,U,AC,,,N
10005703,6044,3959,4.3.3.03959,VIBROMETRO,4,U,AC,,,N
10006186,6050,1805,4.3.9.01805,NICHO HIDRANTE,4,U,AC,,,N
10005087,6006,2184,3.4.1.02184,ENCUESTA,4,S,AC,,,N
10001768,5960,4839,2.5.8.04839,PVC,4,C,AC,,,N
10001859,5957,5115,2.5.5.05115,PASIVADOR,4,C,AC,,,N
10002884,5961,6919,2.5.9.06919,GRANADA,4,C,AC,,,N
10003045,5954,4696,2.5.2.04696,IODO,4,C,AC,,,N
10004123,5937,4586,2.2.2.04586,POLERA,4,C,AC,,,N
10004536,6004,1391,3.3.5.01391,LIMPIEZA DE PAREDES,4,S,AC,,,N
10004719,6005,5299,3.3.9.05299,MANT. JARDIN INTERIOR,4,S,AC,,,N
6054,5867,1,4.7.1.00000,SEMOVIENTES,3,U,AC,,,N
5832,,1,1.0.0.00000,GASTOS EN PERSONAL,1,S,AC,,,N
5834,,3,3.0.0.00000,SERVICIOS NO PERSONALES,1,S,AC,,,N
5843,5832,5,1.5.0.00000,ASISTENCIA SOCIAL AL PERSONAL,2,S,AC,,,N
5865,5834,1,3.1.0.00000,SERVICIOS BASICOS,2,S,AC,,,N
5864,5834,2,3.2.0.00000,ALQUILERES Y DERECHOS,2,S,AC,,,N
5863,5834,3,3.3.0.00000,MANTENIMIENTO REPARACION Y LIMPIEZA,2,S,AC,,,N
5862,5834,4,3.4.0.00000,SERVICIOS TECNICOS Y PROFESIONALES,2,S,AC,,,N
5861,5834,5,3.5.0.00000,SERVICIOS COMERCIALES Y FINANCIEROS,2,S,AC,,,N
5860,5834,6,3.6.0.00000,PUBLICIDAD Y PROPAGANDA,2,S,AC,,,N
5859,5834,7,3.7.0.00000,PASAJES Y VIATICOS,2,S,AC,,,N
5858,5834,8,3.8.0.00000,IMPUESTOS DERECHOS TASAS Y JUICIOS,2,S,AC,,,N
5857,5834,9,3.9.0.00000,OTROS SERVICIOS,2,S,AC,,,N
5926,5843,1,1.5.1.00000,SEGUROS DE RIESGO DE TRABAJO,3,S,AC,,,N
5990,5865,5,3.1.5.00000,CORREOS Y TELEGRAFO,3,S,AC,,,N
5999,5864,9,3.2.9.00000,OTROS N.E.P.,3,S,AC,,,N
5997,5864,6,3.2.6.00000,DERECHOS DE BIENES INTANGIBLES,3,S,AC,,,N
5995,5864,4,3.2.4.00000,ALQUILER DE FOTOCOPIADORAS,3,S,AC,,,N
5994,5864,3,3.2.3.00000,ALQUILER DE EQUIPOS DE COMPUTACION,3,S,AC,,,N
5993,5864,2,3.2.2.00000,ALQUILER DE MAQ.EQUIPO Y MED.TRANSPORTE,3,S,AC,,,N
5992,5864,1,3.2.1.00000,ALQUILER DE EDIFICIOS Y LOCALES,3,S,AC,,,N
6004,5863,5,3.3.5.00000,LIMPIEZA ASEO Y FUMIGACION,3,S,AC,,,N
6003,5863,4,3.3.4.00000,MANTEN.Y REPARAC.DE VIAS DE COMUNICACION,3,S,AC,,,N
6000,5863,1,3.3.1.00000,MANTEN.Y REPARAC. DE EDIFICIOS Y LOCALES,3,S,AC,,,N
6012,5862,7,3.4.7.00000,DE TURISMO,3,S,AC,,,N
6008,5862,3,3.4.3.00000,JURIDICOS,3,S,AC,,,N
6007,5862,2,3.4.2.00000,MEDICOS Y SANITARIOS,3,S,AC,,,N
6006,5862,1,3.4.1.00000,ESTUDIO INVEST.Y PROYECT.DE FACTIBILIDAD,3,S,AC,,,N
6020,5861,9,3.5.9.00000,OTROS N.E.P.,3,S,AC,,,N
6018,5861,4,3.5.4.00000,PRIMAS Y GASTOS DE SEGURO,3,S,AC,,,N
6016,5861,2,3.5.2.00000,ALMACENAMIENTO,3,S,AC,,,N
6015,5861,1,3.5.1.00000,TRANSPORTE,3,S,AC,,,N
6026,5858,2,3.8.2.00000,IMPUESTOS DIRECTOS,3,S,AC,,,N
6034,5857,3,3.9.3.00000,SERVICIOS DE VIGILANCIA,3,S,AC,,,N
1000308,5863,6,3.3.6.00000,MANTENIMIENTO DE SISEMAS INFORMATICOS,3,S,AC,,,N
1000309,5861,6,3.5.6.00000,INTERNET,3,S,AC,,,N
5986,5865,1,3.1.1.00000,ENERGIA ELECTRICA,3,S,AC,,,N
5988,5865,3,3.1.3.00000,GAS,3,S,AC,,,N
5989,5865,4,3.1.4.00000,"TELEFONOS, TELEX Y TELEFAX",3,S,AC,,,N
6001,5863,2,3.3.2.00000,MANTENIMIENTO Y REPARACIN DE VEHICULOS,3,S,AC,,,N
6002,5863,3,3.3.3.00000,MANTENIMIENTO Y REPARACION DE MAQUINARIAS Y EQUIPOS,3,S,AC,,,N
6005,5863,9,3.3.9.00000,OTROS N.E.P.,3,S,AC,,,N
6009,5862,4,3.4.4.00000,CONTABILIDAD Y AUDITORIA,3,S,AC,,,N
6010,5862,5,3.4.5.00000,DE CAPACITACION,3,S,AC,,,N
6011,5862,6,3.4.6.00000,DE INFORMATICA Y SISTEMAS COMPUTARIZADOS,3,S,AC,,,N
6014,5862,9,3.4.9.00000,OTROS N.E.P.,3,S,AC,,,N
6017,5861,3,3.5.3.00000,"IMPRENTA, PUBLICACIONES Y REPRODUCCIONES",3,S,AC,,,N
6019,5861,5,3.5.5.00000,COMISIONES Y GASTOS BANCARIOS,3,S,AC,,,N
6022,5859,1,3.7.1.00000,PASAJES,3,S,AC,,,N
6023,5859,2,3.7.2.00000,VIATICOS,3,S,AC,,,N
6032,5857,1,3.9.1.00000,SERVICIOS CEREMONIALES,3,S,AC,,,N
6036,5857,9,3.9.9.00000,OTROS N.E.P.,3,S,AC,,,N
10004514,5990,1384,3.1.5.01384,DISTRIBUCION DE CORREOS,4,S,AC,,,N
10004515,5990,1385,3.1.5.01385,TELEGRAMAS,4,S,AC,,,N
10004516,5990,2503,3.1.5.02503,TIMBRES POSTALES,4,S,AC,,,N
10004517,5990,3281,3.1.5.03281,SERVICIO DE ENSOBRADO,4,S,AC,,,N
10004518,5990,6388,3.1.5.06388,RESPUESTA POSTAL PAGA,4,S,AC,,,N
10004519,5990,6489,3.1.5.06489,SERVICIO POSTAL,4,S,AC,,,N
10004520,5990,6740,3.1.5.06740,CARGA MAQUINA FRANQUEADORA,4,S,AC,,,N
10004521,5989,2052,3.1.4.02052,SERVICIO DE RADIOMENSAJE,4,S,AC,,,N
10004522,5989,2210,3.1.4.02210,SERVICIO DE INTERNET,4,S,AC,,,N
10004523,5989,2315,3.1.4.02315,SERV. ENLACE DE TELECOMUNIC,4,S,AC,,,N
10004524,5989,2382,3.1.4.02382,SERVICIO TELEFONICO,4,S,AC,,,N
10004525,5989,2426,3.1.4.02426,SERV. RADIOTELECOMUNICACION,4,S,AC,,,N
10004526,5989,2880,3.1.4.02880,SERVICIO DE CORREO ELECTRONICO,4,S,AC,,,N
10004527,5989,4606,3.1.4.04606,SERV. DE COMUNIC. MOVIL DE VOZ,4,S,AC,,,N
10004528,5989,4694,3.1.4.04694,SERV. DE TELEFONIA CELULAR,4,S,AC,,,N
10004529,5989,4762,3.1.4.04762,SERV. INTEGRAL DE COMUNICACION,4,S,AC,,,N
10004530,5989,5736,3.1.4.05736,SERV. DE TELEFONIA SATELITAL,4,S,AC,,,N
10004531,5986,2390,3.1.1.02390,SERVICIO DE ENERGIA ELECTRICA,4,S,AC,,,N
10004532,5988,2392,3.1.3.02392,SERVICIO DE GAS NATURAL,4,S,AC,,,N
10004533,5987,2391,3.1.2.02391,SERVICIO DE AGUA Y CLOACA,4,S,AC,,,N
10004534,6004,1386,3.3.5.01386,LIMPIEZA DE PISOS,4,S,AC,,,N
10004535,6004,1390,3.3.5.01390,LIMPIEZA CIELORASOS,4,S,AC,,,N
10004537,6004,1392,3.3.5.01392,LIMPIEZA BALCONES Y AZOTEAS,4,S,AC,,,N
10004538,6004,1393,3.3.5.01393,LIMPIEZA CORTINAS,4,S,AC,,,N
10004539,6004,1394,3.3.5.01394,LIMPIEZA DE METALES,4,S,AC,,,N
10004540,6004,1398,3.3.5.01398,LIMPIEZA VIDRIOS/CRISTALES,4,S,AC,,,N
10004541,6004,1535,3.3.5.01535,LIMPIEZA DE MOBILIARIO,4,S,AC,,,N
10004542,6004,1536,3.3.5.01536,LIMPIEZA LOCALES ESPECIALES,4,S,AC,,,N
10004543,6004,1537,3.3.5.01537,LIMPIEZA ACCESORIOS OFICINA,4,S,AC,,,N
10004544,6004,1539,3.3.5.01539,LIMPIEZA DE CARPINTERIAS,4,S,AC,,,N
10004545,6004,1560,3.3.5.01560,DESINFECCION,4,S,AC,,,N
10004546,6004,1561,3.3.5.01561,DESINSECTIZACION,4,S,AC,,,N
10004547,6004,1564,3.3.5.01564,DESRATIZACION,4,S,AC,,,N
10004548,6004,1565,3.3.5.01565,CONTROL DE AVES,4,S,AC,,,N
10000561,5981,1554,2.9.3.01554,JACK,4,C,AC,,,N
10004549,6004,1566,3.3.5.01566,CONTROL DE MURCIELAGOS,4,S,AC,,,N
10004550,6004,1572,3.3.5.01572,LIMPIEZA DE ESCALERAS,4,S,AC,,,N
10004551,6004,1688,3.3.5.01688,LIMPIEZA DE EDIFICIOS,4,S,AC,,,N
10004552,6004,2097,3.3.5.02097,FUMIGACION,4,S,AC,,,N
10004553,6004,2136,3.3.5.02136,SERVICIO CONTENEDOR HIGIENICO,4,S,AC,,,N
10004554,6004,2453,3.3.5.02453,AROMATIZACION DE AMBIENTES,4,S,AC,,,N
10004555,6004,2529,3.3.5.02529,LIMPIEZA DE PISCINAS,4,S,AC,,,N
10004556,6004,2643,3.3.5.02643,LIMPIEZA DE OBRAS DE ARTE,4,S,AC,,,N
10004557,6004,2709,3.3.5.02709,LIMP.TANQUE DE AGUA POTABLE,4,S,AC,,,N
10004558,6004,2914,3.3.5.02914,SERV. LAVADO DE TEXTILES,4,S,AC,,,N
10004559,6004,3008,3.3.5.03008,LIMPIEZA POZO AGUA SERVIDA,4,S,AC,,,N
10004560,6004,3389,3.3.5.03389,LIMP.MODULO-HELIP.-HANGARES ,4,S,AC,,,N
10004561,6004,3887,3.3.5.03887,LIMPIEZA TANQUE COMBUSTIBLE,4,S,AC,,,N
10004562,6004,3902,3.3.5.03902,SERV. LIMPIEZA HOSPITALARIA,4,S,AC,,,N
10004563,6004,3921,3.3.5.03921,SERV. DE LIMPIEZA AERONAVE,4,S,AC,,,N
10004564,6004,4074,3.3.5.04074,LIMPIEZA DE CHAPAS PLASTICAS,4,S,AC,,,N
10004565,6004,4191,3.3.5.04191,LIMPIEZA DE FRENTE EN ALTURA,4,S,AC,,,N
10004566,6004,4527,3.3.5.04527,LIMPIEZA COMPONENTES PLUVIALES,4,S,AC,,,N
10004567,6004,4689,3.3.5.04689,DESMALEZADO,4,S,AC,,,N
10004568,6004,4974,3.3.5.04974,SERVICIO DE LIMPIEZA DE CLOACA,4,S,AC,,,N
10004569,6004,5155,3.3.5.05155,SERV.RECOLECCION DE RESIDUOS,4,S,AC,,,N
10004570,6004,5517,3.3.5.05517,SERV. CONTENEDOR REFRIGERADO,4,S,AC,,,N
10004571,6004,5924,3.3.5.05924,LAVADO Y PLANCHADO DE PREMDAS,4,S,AC,,,N
10004572,6002,1400,3.3.3.01400,MANTENIMIENTO ASCENSORES,4,S,AC,,,N
10004573,6002,1420,3.3.3.01420,MANTENIMIENTO ESC. MECANICA,4,S,AC,,,N
10004574,6002,1424,3.3.3.01424,MANTENIMIENTO RAMPA MOVIL,4,S,AC,,,N
10004575,6002,1627,3.3.3.01627,MANTENIMIENTO MATAFUEGOS,4,S,AC,,,N
10004576,6002,1657,3.3.3.01657,MANT. EQUIPO DE COMPUTACION,4,S,AC,,,N
10004577,6002,2040,3.3.3.02040,MANT. AIRE ACONDICIONADO,4,S,AC,,,N
10004578,6002,2042,3.3.3.02042,MANT. CENTRAL TELEFONICA,4,S,AC,,,N
10004579,6002,2053,3.3.3.02053,MANT. EQUIPO DE SEGURIDAD,4,S,AC,,,N
10004580,6002,2079,3.3.3.02079,MANTENIMIENTO SERVIDORES,4,S,AC,,,N
10004581,6002,2084,3.3.3.02084,REGULARIZACION DE ELEVADORES,4,S,AC,,,N
10004582,6002,2100,3.3.3.02100,MANT. EQUIPOS CONTRA INCENDIO,4,S,AC,,,N
10004583,6002,2101,3.3.3.02101,MANT. DE BOMBA DE AGUA,4,S,AC,,,N
10004584,6002,2128,3.3.3.02128,REPARACION EQUIPO PROPULSOR,4,S,AC,,,N
10004585,6002,2188,3.3.3.02188,REPARACION DE EQUIPO,4,S,AC,,,N
10004586,6002,2221,3.3.3.02221,MANT. Y REPARACION IMPRESORA,4,S,AC,,,N
10004587,6002,2245,3.3.3.02245,MANT. DE MAQUINA DOBLADORA,4,S,AC,,,N
10004588,6002,2372,3.3.3.02372,MANT. DE FOTOCOPIADORA,4,S,AC,,,N
10004589,6002,2389,3.3.3.02389,MANT. EQ. TRATAM. DE EFLUENTE,4,S,AC,,,N
10004590,6002,2397,3.3.3.02397,MANT. DE EQ. DE CINE Y VIDEO,4,S,AC,,,N
10004591,6002,2418,3.3.3.02418,MANT. EQUIPO DE LABORATORIO,4,S,AC,,,N
10004592,6002,2435,3.3.3.02435,MANTENIMIENTO DE CALDERA,4,S,AC,,,N
10004593,6002,2440,3.3.3.02440,MANT. EQUIPO DE USO MEDICO,4,S,AC,,,N
10004594,6002,2454,3.3.3.02454,MANT. EQUIPO COMP Y ASPIR. O2,4,S,AC,,,N
10004595,6002,2458,3.3.3.02458,MANT. SISTEMA DE ALARMA,4,S,AC,,,N
10004596,6002,2461,3.3.3.02461,MANT. DE HORNO DE PANADERIA,4,S,AC,,,N
10004597,6002,2492,3.3.3.02492,MANT. DE CALEFACTOR,4,S,AC,,,N
10004598,6002,2499,3.3.3.02499,MANT. CEPILLADORA DE MADERA,4,S,AC,,,N
10004599,6002,2500,3.3.3.02500,MANT. DE GRUPO ELECTROGENO,4,S,AC,,,N
10004600,6002,2501,3.3.3.02501,MANT. DE DESTILADOR DE AGUA,4,S,AC,,,N
10004601,6002,2625,3.3.3.02625,MANTENIMIENTO DE RELOJ,4,S,AC,,,N
10004602,6002,2629,3.3.3.02629,MANT. DE BRAZO HIDRAULICO,4,S,AC,,,N
10004603,6002,2633,3.3.3.02633,MANT. DE DENSITOMETRO,4,S,AC,,,N
10004604,6002,2657,3.3.3.02657,MANT. INSTRUMENTAL CIENTIFICO,4,S,AC,,,N
10004605,6002,2680,3.3.3.02680,MANT. DE ANTENA DE COMUNIC.,4,S,AC,,,N
10004606,6002,2727,3.3.3.02727,PRUEBA HIDRAULICA,4,S,AC,,,N
10004607,6002,2810,3.3.3.02810,MANT. MAQ. COSER INDUSTRIAL,4,S,AC,,,N
10004608,6002,2811,3.3.3.02811,MANT. CARGADOR DE BATERIAS,4,S,AC,,,N
10004609,6002,2812,3.3.3.02812,MANT. MAQ. PICADORA CARNE,4,S,AC,,,N
10004610,6002,2813,3.3.3.02813,MANT. COCINA INDUSTRIAL,4,S,AC,,,N
10004611,6002,2814,3.3.3.02814,MANT. MAQUINA DE ESCRIBIR,4,S,AC,,,N
10004612,6002,2815,3.3.3.02815,MANT. GUILLOTINA INDUSTRIAL,4,S,AC,,,N
10004613,6002,2820,3.3.3.02820,MANT. MAQ. FRANQUEADORA,4,S,AC,,,N
10004614,6002,2844,3.3.3.02844,MANT. DE AUTOELEVADOR,4,S,AC,,,N
10004615,6002,2987,3.3.3.02987,MANT. EQUIPO MICROFILMACION,4,S,AC,,,N
10004616,6002,3049,3.3.3.03049,MANT. FICHERO ELECTROMEC.,4,S,AC,,,N
10004617,6002,3050,3.3.3.03050,MANT. CENTRO MECANIZADO,4,S,AC,,,N
10004618,6002,3051,3.3.3.03051,MANT. PANTOGRAFO,4,S,AC,,,N
10004619,6002,3052,3.3.3.03052,MANT. UNIDAD DE GOBIERNO,4,S,AC,,,N
10004620,6002,3053,3.3.3.03053,MANT. TORNO,4,S,AC,,,N
10004621,6002,3056,3.3.3.03056,MANT. DUPLICADORA DIGITAL,4,S,AC,,,N
10004622,6002,3057,3.3.3.03057,MANTENIMIENTO DE HELADERA,4,S,AC,,,N
10004623,6002,3058,3.3.3.03058,MANT. EQUIPO IMPRESOR,4,S,AC,,,N
10004624,6002,3059,3.3.3.03059,MANT. DE EQUIPOS DE FAX,4,S,AC,,,N
10004625,6002,3081,3.3.3.03081,MANT. DE CAMARA MORTUORIA,4,S,AC,,,N
10004626,6002,3088,3.3.3.03088,MANT. EQUIPO FOTOGRAFICO,4,S,AC,,,N
10004627,6002,3114,3.3.3.03114,MANT. SIST. CONTROL ACCESO,4,S,AC,,,N
10004628,6002,3136,3.3.3.03136,MANT.EQUIPO LUZ EMERGENCIA,4,S,AC,,,N
10004629,6002,3230,3.3.3.03230,MANT.PERFORADORA ELECTRIC,4,S,AC,,,N
10004630,6002,3257,3.3.3.03257,MANT. EQUIPOS ART. GRAFICA,4,S,AC,,,N
10004631,6002,3354,3.3.3.03354,MANT. EQUIPO PHOTO-FIT ,4,S,AC,,,N
10004632,6002,3355,3.3.3.03355,MANT. SIST. TEST DE REFLEJO,4,S,AC,,,N
10004633,6002,3385,3.3.3.03385,MANT. CONTADORA DE BILLETES,4,S,AC,,,N
10004634,6002,3386,3.3.3.03386,MANT. CONTADORA DE MONEDA,4,S,AC,,,N
10004635,6002,3406,3.3.3.03406,MANT.SIST.IMPULSION DE AIRE,4,S,AC,,,N
10004636,6002,3411,3.3.3.03411,MANT.SIST.CONTROL VIGILANCIA,4,S,AC,,,N
10004637,6002,3412,3.3.3.03412,MANT.ILUMINACION PERIFERICA,4,S,AC,,,N
10004638,6002,3413,3.3.3.03413,MANT.EQUIPO DETECTOR GAS,4,S,AC,,,N
10004639,6002,3414,3.3.3.03414,MANT.EQ.DETECTOR EXPLOSIVO,4,S,AC,,,N
10004640,6002,3499,3.3.3.03499,MANT.EQUIPO COMUNICACION,4,S,AC,,,N
10004641,6002,3523,3.3.3.03523,MANT. DE TRANSFORMADOR,4,S,AC,,,N
10004642,6002,3594,3.3.3.03594,MANTENIMIENTO MONTACARGA,4,S,AC,,,N
10004643,6002,3619,3.3.3.03619,MANT.BOMBA PLUVIAL/CLOACAL,4,S,AC,,,N
10004644,6002,3893,3.3.3.03893,MANT. CIRCUITO CERRADO,4,S,AC,,,N
10004645,6002,3926,3.3.3.03926,MANT.SIST. DE REFIGERACION,4,S,AC,,,N
10004646,6002,3929,3.3.3.03929,MANT. MAQUINA CENTRIFUGA,4,S,AC,,,N
10004647,6002,4182,3.3.3.04182,MANT.LLAVES CONMUTADORAS,4,S,AC,,,N
10004648,6002,4193,3.3.3.04193,MAN.PLAT.TRANSP.SILLA RUEDA,4,S,AC,,,N
10004649,6002,4277,3.3.3.04277,MANT. Y CONSERVACION DE MOTOR,4,S,AC,,,N
10004650,6002,4287,3.3.3.04287,REPAR.CONTROL DE ACCESO,4,S,AC,,,N
10004651,6002,4290,3.3.3.04290,MANT.ELECTROMECANICO,4,S,AC,,,N
